,hist
accuracy,"[0.19394609332084656, 0.23896124958992004, 0.2741459906101227, 0.29315146803855896, 0.3325550854206085, 0.3578684329986572, 0.3840829133987427, 0.41414761543273926, 0.43671664595603943, 0.4572376608848572, 0.4759973883628845, 0.49479806423187256, 0.5194560289382935, 0.5331367254257202, 0.55394446849823, 0.5641025900840759, 0.579872190952301, 0.5982632637023926, 0.6113705039024353, 0.6250921487808228, 0.6432374715805054, 0.6602359414100647, 0.6676087379455566, 0.6792004704475403, 0.6915704011917114, 0.7058245539665222, 0.7190136909484863, 0.730728268623352, 0.7382239699363708, 0.749774694442749, 0.7574342489242554, 0.7714016437530518, 0.7773408889770508, 0.7870483994483948, 0.7942164540290833, 0.8059719800949097, 0.8129351735115051, 0.8192430734634399, 0.8288277387619019, 0.8339067697525024, 0.8490210771560669, 0.8559842705726624, 0.8621282577514648, 0.8683542013168335, 0.8734742403030396, 0.876095712184906, 0.8759728074073792, 0.8806832432746887, 0.8888342976570129, 0.8898172974586487, 0.8939542770385742, 0.8984599113464355, 0.900057315826416, 0.9015319347381592, 0.9050544500350952, 0.909396231174469, 0.9125092029571533, 0.9128778576850891, 0.917096734046936, 0.9183664917945862, 0.9178340435028076, 0.9222167730331421, 0.9238141775131226, 0.9252068400382996, 0.9311460852622986, 0.9332350492477417, 0.9314327836036682, 0.9357336163520813, 0.9351192116737366, 0.9390103816986084, 0.938109278678894, 0.9384369850158691, 0.945113480091095, 0.9409355521202087, 0.9435569643974304, 0.9429835081100464, 0.948021650314331, 0.9470795392990112, 0.9497829079627991, 0.9455230832099915, 0.9540837407112122, 0.9584664702415466, 0.9574834108352661, 0.9591627717018127, 0.9564184546470642, 0.9608830809593201, 0.9598590731620789, 0.9621938467025757, 0.9636684060096741, 0.9632997512817383, 0.9655935168266296, 0.9628901481628418, 0.9669861793518066, 0.9665355682373047, 0.9653887152671814, 0.9678053855895996, 0.9651429653167725, 0.9681330323219299, 0.9685835838317871, 0.9682968854904175, 0.9677234292030334, 0.9725157618522644, 0.9708364009857178, 0.9703039526939392, 0.9719423055648804, 0.9743180274963379, 0.9728025197982788, 0.9710002541542053, 0.9713689088821411, 0.9721471071243286, 0.9745228290557861, 0.9739493727684021, 0.9733759164810181, 0.9748504757881165, 0.9720652103424072, 0.9748504757881165, 0.9755468368530273, 0.9764888882637024, 0.97444087266922, 0.9749733805656433, 0.9790694117546082, 0.9782911539077759, 0.977594792842865, 0.9783730506896973, 0.9787417054176331, 0.9794790148735046, 0.9796428084373474, 0.981322169303894, 0.9799295663833618, 0.9808716177940369, 0.981199324131012, 0.9800114631652832, 0.9799705147743225, 0.9816498756408691, 0.9810354709625244, 0.9822233319282532, 0.98296058177948, 0.981322169303894, 0.9815269708633423, 0.9806258678436279]"
loss,"[2.569166660308838, 2.273768901824951, 2.1324546337127686, 1.9783756732940674, 1.8576698303222656, 1.7425593137741089, 1.6531182527542114, 1.554210901260376, 1.476750135421753, 1.395747423171997, 1.3349193334579468, 1.2783217430114746, 1.2101054191589355, 1.169643759727478, 1.1085833311080933, 1.068630576133728, 1.0181760787963867, 0.9733171463012695, 0.9256203174591064, 0.8838247656822205, 0.8334027528762817, 0.7928541302680969, 0.765966534614563, 0.7289784550666809, 0.6971178650856018, 0.6702623963356018, 0.6257312297821045, 0.5975240468978882, 0.5693017840385437, 0.5427953600883484, 0.5195614695549011, 0.48974937200546265, 0.4686153531074524, 0.45328325033187866, 0.4303823709487915, 0.40552058815956116, 0.38228747248649597, 0.3716719150543213, 0.35132932662963867, 0.3340253233909607, 0.30129072070121765, 0.28463542461395264, 0.2731216847896576, 0.25853806734085083, 0.25049567222595215, 0.24427717924118042, 0.24065238237380981, 0.2343827188014984, 0.21460646390914917, 0.20942533016204834, 0.20418570935726166, 0.19548989832401276, 0.19532397389411926, 0.18524983525276184, 0.1845242977142334, 0.17591677606105804, 0.17141108214855194, 0.1688825488090515, 0.16114896535873413, 0.15617163479328156, 0.15450797975063324, 0.1550675332546234, 0.14602386951446533, 0.14094245433807373, 0.13565853238105774, 0.13231410086154938, 0.13230063021183014, 0.12457086890935898, 0.1295454353094101, 0.11713147908449173, 0.12401522696018219, 0.11794909089803696, 0.10846968740224838, 0.11122603714466095, 0.10806857794523239, 0.10914968699216843, 0.1036987155675888, 0.10325079411268234, 0.09761171787977219, 0.10097649693489075, 0.08674294501543045, 0.0806870087981224, 0.08118850737810135, 0.07767604291439056, 0.08231792598962784, 0.07511778175830841, 0.07586106657981873, 0.06979141384363174, 0.06973215937614441, 0.06945271790027618, 0.06714139133691788, 0.07083647698163986, 0.06637456268072128, 0.06270178407430649, 0.06873594969511032, 0.06191428750753403, 0.06759495288133621, 0.06125657260417938, 0.06016929820179939, 0.05963597446680069, 0.06015188992023468, 0.05488334596157074, 0.054892685264348984, 0.05812922865152359, 0.05722573772072792, 0.051629941910505295, 0.053071070462465286, 0.0557636022567749, 0.052678998559713364, 0.05691690742969513, 0.051808908581733704, 0.05208167806267738, 0.04972515627741814, 0.051335446536540985, 0.05145333707332611, 0.05020761489868164, 0.04856954887509346, 0.04709814488887787, 0.048766128718853, 0.04988309368491173, 0.04340141639113426, 0.04361698776483536, 0.04217788949608803, 0.04234614968299866, 0.03925967961549759, 0.03969007357954979, 0.04008732736110687, 0.03781668841838837, 0.04044197499752045, 0.038091905415058136, 0.03728348761796951, 0.039972253143787384, 0.040145888924598694, 0.036118388175964355, 0.03752264007925987, 0.03700445964932442, 0.03399667516350746, 0.03478936851024628, 0.03478893265128136, 0.035381633788347244]"
lr,"[5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 1.25e-05, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06, 6.25e-06]"
val_accuracy,"[0.15866008400917053, 0.334977924823761, 0.3326408863067627, 0.3266684114933014, 0.34588417410850525, 0.36354193091392517, 0.40041548013687134, 0.4172942042350769, 0.37392884492874146, 0.4401454031467438, 0.48922356963157654, 0.49701377749443054, 0.49052193760871887, 0.47052714228630066, 0.4959750771522522, 0.5268761515617371, 0.5146715044975281, 0.5154505372047424, 0.5871202349662781, 0.5764736533164978, 0.5811477303504944, 0.599844217300415, 0.5840041637420654, 0.5904960036277771, 0.6039989590644836, 0.6237341165542603, 0.6050376296043396, 0.6089327335357666, 0.6221760511398315, 0.660088300704956, 0.6336016654968262, 0.6844975352287292, 0.6806024312973022, 0.669436514377594, 0.6767073273658752, 0.7122825384140015, 0.7109841704368591, 0.6933264136314392, 0.7024149298667908, 0.7130615711212158, 0.7312386631965637, 0.7522721290588379, 0.7289015650749207, 0.7413658499717712, 0.7478576898574829, 0.7540898323059082, 0.7577252388000488, 0.7675928473472595, 0.7569462656974792, 0.7598026394844055, 0.7707089185714722, 0.7714879512786865, 0.7691508531570435, 0.7746040225028992, 0.7696701884269714, 0.7717475891113281, 0.7847312092781067, 0.7733056545257568, 0.7738249897956848, 0.7800571322441101, 0.7823941707611084, 0.7914827466011047, 0.7888860106468201, 0.786029577255249, 0.7878473401069641, 0.793300449848175, 0.794858455657959, 0.7956374883651733, 0.7883666753768921, 0.7979745268821716, 0.7969358563423157, 0.7940794825553894, 0.8018696308135986, 0.7995325922966003, 0.7964165210723877, 0.7958971858024597, 0.7953778505325317, 0.7953778505325317, 0.8013502955436707, 0.8008309602737427, 0.7995325922966003, 0.802129328250885, 0.8008309602737427, 0.803167998790741, 0.8042067289352417, 0.8008309602737427, 0.8010905981063843, 0.806024432182312, 0.8052453994750977, 0.8005712628364563, 0.806024432182312, 0.8029083609580994, 0.8047260642051697, 0.8052453994750977, 0.802648663520813, 0.8052453994750977, 0.8010905981063843, 0.806024432182312, 0.8029083609580994, 0.8044663667678833, 0.8042067289352417, 0.807582437992096, 0.8039470314979553, 0.806024432182312, 0.803687334060669, 0.8083614706993103, 0.8044663667678833, 0.8057647347450256, 0.806024432182312, 0.8034276962280273, 0.8068034052848816, 0.8018696308135986, 0.8047260642051697, 0.8044663667678833, 0.8062840700149536, 0.8055050373077393, 0.803687334060669, 0.8052453994750977, 0.8042067289352417, 0.810958206653595, 0.807582437992096, 0.8057647347450256, 0.8094001412391663, 0.8055050373077393, 0.802129328250885, 0.8055050373077393, 0.8044663667678833, 0.8086211085319519, 0.807582437992096, 0.8057647347450256, 0.807582437992096, 0.8057647347450256, 0.8086211085319519, 0.8088808059692383, 0.8062840700149536, 0.8081017732620239, 0.8055050373077393, 0.8078421354293823, 0.8034276962280273, 0.8091405034065247]"
val_loss,"[2.159236431121826, 1.8231087923049927, 1.8095518350601196, 1.776477336883545, 1.7236870527267456, 1.6674442291259766, 1.5736685991287231, 1.5260696411132812, 1.6412781476974487, 1.4934390783309937, 1.4043952226638794, 1.3700363636016846, 1.3956133127212524, 1.420333743095398, 1.364464282989502, 1.2813318967819214, 1.3119232654571533, 1.3112902641296387, 1.1764960289001465, 1.1770082712173462, 1.173197627067566, 1.153703212738037, 1.18714439868927, 1.1534658670425415, 1.1472790241241455, 1.0883538722991943, 1.1491641998291016, 1.1437479257583618, 1.1069090366363525, 1.029416561126709, 1.1032991409301758, 1.004906177520752, 1.0211267471313477, 1.0203906297683716, 1.0163260698318481, 0.9602539539337158, 0.9748828411102295, 1.0009350776672363, 1.002117395401001, 0.9883303642272949, 0.9544893503189087, 0.9090012907981873, 0.9544113278388977, 0.9296565651893616, 0.9549409747123718, 0.9195669293403625, 0.9235433340072632, 0.9200745820999146, 0.9443525075912476, 0.9371537566184998, 0.9331835508346558, 0.9227074980735779, 0.9391911029815674, 0.9322082996368408, 0.9576563835144043, 0.9567036032676697, 0.9373844265937805, 0.9526820182800293, 0.9563735723495483, 0.9607704877853394, 0.933516800403595, 0.939801037311554, 0.9400321841239929, 0.946279764175415, 0.965060293674469, 0.9618845582008362, 0.9514097571372986, 0.959812343120575, 0.9858786463737488, 0.9603813290596008, 0.979077935218811, 0.9941654801368713, 0.9875924587249756, 1.0039561986923218, 0.9955499172210693, 1.0064281225204468, 1.0002857446670532, 1.012864112854004, 1.0065882205963135, 1.0291800498962402, 1.0061521530151367, 1.0380793809890747, 1.02058744430542, 1.0005264282226562, 1.0082197189331055, 1.017861008644104, 1.022098183631897, 1.0216609239578247, 1.0264588594436646, 1.0538357496261597, 1.0276328325271606, 1.0511901378631592, 1.0432065725326538, 1.0342586040496826, 1.0440309047698975, 1.063706874847412, 1.0683642625808716, 1.0551074743270874, 1.0509140491485596, 1.059377908706665, 1.07041335105896, 1.06033456325531, 1.0715402364730835, 1.087622046470642, 1.0790396928787231, 1.0759155750274658, 1.0719813108444214, 1.0781512260437012, 1.0732603073120117, 1.0912381410598755, 1.0804851055145264, 1.0973244905471802, 1.1009119749069214, 1.1201908588409424, 1.08983314037323, 1.0936193466186523, 1.1136208772659302, 1.115297555923462, 1.1046428680419922, 1.123058795928955, 1.106326937675476, 1.0989534854888916, 1.120845079421997, 1.113757848739624, 1.1282494068145752, 1.1375529766082764, 1.1261355876922607, 1.123355746269226, 1.1299995183944702, 1.1285957098007202, 1.1379719972610474, 1.1399379968643188, 1.123123049736023, 1.1219911575317383, 1.1187551021575928, 1.1226491928100586, 1.1473792791366577, 1.1317992210388184, 1.144765019416809, 1.1357327699661255]"
